"filename", "language", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "TypeScript JSX", "XML", "CSS", "YAML", "Markdown", "SCSS", "comment", "blank", "total"
"d:\work\programming228\web\game-tensor\src\store\editAd\editAdSelector.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\work\programming228\web\game-tensor\src\store\editAd\editAdSlice.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"d:\work\programming228\web\game-tensor\src\store\editAd\editAdThunk.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"d:\work\programming228\web\game-tensor\src\store\getBookmark\getBookmarkSelector.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\work\programming228\web\game-tensor\src\store\getBookmark\getBookmarkSlice.ts", "TypeScript", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 5, 66
"d:\work\programming228\web\game-tensor\src\store\getBookmark\getBookmarkThunk.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\work\programming228\web\game-tensor\src\store\getChats\getChatsSelector.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 5, 11
"d:\work\programming228\web\game-tensor\src\store\getChats\getChatsSlice.ts", "TypeScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 1, 6, 66
"d:\work\programming228\web\game-tensor\src\store\getChats\getChatsThunk.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\work\programming228\web\game-tensor\src\store\getMessages\getMessagesSelector.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\work\programming228\web\game-tensor\src\store\getMessages\getMessagesSlice.ts", "TypeScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 1, 6, 76
