"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "YAML", "SCSS", "CSS", "TypeScript JSX", "Markdown", "XML", "comment", "blank", "total"
"d:\work\programming228\web\game-tensor\src\store\login\loginThunk.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"d:\work\programming228\web\game-tensor\src\store\logout\logoutSlice.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"d:\work\programming228\web\game-tensor\src\store\logout\logoutThunk.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\work\programming228\web\game-tensor\src\store\registration\registrationSelector.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\work\programming228\web\game-tensor\src\store\registration\registrationSlice.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 4, 41
"d:\work\programming228\web\game-tensor\src\store\registration\registrationThunk.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\work\programming228\web\game-tensor\src\store\search\searchSelector.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"d:\work\programming228\web\game-tensor\src\store\search\searchSlice.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 1, 6, 49
"d:\work\programming228\web\game-tensor\src\store\search\searchThunk.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 2, 41
"d:\work\programming228\web\game-tensor\src\store\store.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 3, 40
"d:\work\programming228\web\game-tensor\src\store\tags\tagsSelector.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 9
"d:\work\programming228\web\game-tensor\src\store\tags\tagsSlice.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 1, 6, 49
"d:\work\programming228\web\game-tensor\src\store\tags\tagsThunk.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\work\programming228\web\game-tensor\src\styles\AdminApprove.module.scss", "SCSS", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 2, 92
"d:\work\programming228\web\game-tensor\src\styles\AdminBlock.module.scss", "SCSS", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 1, 75
"d:\work\programming228\web\game-tensor\src\styles\Advertisements.module.scss", "SCSS", 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 2, 65
"d:\work\programming228\web\game-tensor\src\styles\CardAds.module.scss", "SCSS", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 33
"d:\work\programming228\web\game-tensor\src\styles\CardTag.module.scss", "SCSS", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"d:\work\programming228\web\game-tensor\src\styles\CreateAds.module.scss", "SCSS", 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 2, 121
"d:\work\programming228\web\game-tensor\src\styles\CreateTag.module.scss", "SCSS", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 1, 42
"d:\work\programming228\web\game-tensor\src\styles\FollowModal.module.scss", "SCSS", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 1, 59
"d:\work\programming228\web\game-tensor\src\styles\Footer.module.scss", "SCSS", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 1, 61
"d:\work\programming228\web\game-tensor\src\styles\GameId.module.scss", "SCSS", 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 2, 125
